occupation1,,,occupation2,,,occupation3,,
MONOR SON OF MERCHANT,MERCHANT,AFFILIATED,INTERPRETER NAVAL ATTACHE,GOV,OWN,,,
EXHIBITOR,MERCHANT,OWN,FLIGHT ENGINEER,UNKNOWN,OWN,,,
DOCTOR,MERCHANT,OWN,,,,,,
WIFE OF DOCTOR,MERCHANT,AFFILIATED,,,,,,
SMUGGLER,INVESTIGATION,OWN,,,,,,
INFANT,UNKNOWN,AFFILIATED,,,,,,
HOUSEWIFE,UNKNOWN,AFFILIATED,,,,,,
WIFE/SERVICEMAN,US CITIZEN,AFFILIATED,,,,,,
GOVERNMENT INTERPRETER,GOV,OWN,,,,,,
COFFEE SHOP,,,,,,,,
BAKERY,,,,,,,,
SEAMAN (DESERTER,INVESTIGATION,OWN,,,,,,
NOODLE FACTORY,MERCHANT,OWN,,,,,,
THEATER TROUPE,BONDED TRANSIT/ ENTRY,OWN,,,,,,
RELIGIOUS,TEACHER,OWN,,,,,,
YMCA SECRETARY,UNKNOWN,OWN,,,,,,
ACCOUNTANT,LABORER,OWN,,,,,,
SALVATION ARMY,GOV,OWN,,,,,,
BOARD OF EDUCATION,GOV,OWN,,,,,,
CIVIL ENGINEER,UNKNOWN,OWN,,,,,,
NUN,TEACHER,OWN,,,,,,
ILLEGAL,INVESTIGATION,OWN,,,,,,
ALLEGED UNLAWFUL RESIDENT,INVESTIGATION,OWN,,,,,,
STUDENT & TRAVELER,TRAVELER,OWN,,,,,,
THEATER MANAGER,BONDED TRANSIT/ ENTRY,OWN,,,,,,
TEACHER-MISSIONARY,TEACHER,OWN,,,,,,
PASTRY MAKER,,,,,,,,
NURSE,UNKNOWN,OWN,,,,,,
SON OF GOV'T OFFICIAL,GOV,AFFILIATED ,,,,,,
BANK CLERK,LABORER,OWN,,,,,,
SERVANT OF DIPLOMAT,GOV,AFFILIATED ,,,,,,
PRODUCE MARKER,,,,,,,,
ROOMING HUSE OPERATOR,,,,,,,,
TEMP. INTERPRETER FOR -,US CITIZEN,OWN,,,,,,
POSITION FOR INTERPRETER,US CITIZEN,OWN,,,,,,
DENTIST,MERCHANT,OWN,,,,,,
MAIL CARRIER,US CITIZEN,OWN,,,,,,
CIGAR SALESMAN,MERCHANT,OWN,,,,,,
ACTOR'S GROUP,BONDED TRANSIT/ ENTRY,OWN,,,,,,
DANCER,BONDED TRANSIT/ ENTRY,OWN,,,,,,
MAID,UNKNOWN,OWN,,,,,,
VISITOR,TRAVELER,OWN,,,,,,
COMMERCIAL ARTIST,UNKNOWN,OWN,,,,,,
THEATRE BUSINESS,BONDED TRANSIT/ ENTRY,OWN,,,,,,
INSURANCE,,,,,,,,
INSURANCE BROKER,,,,,,,,
SON OF CHINESE OFFICIAL,GOV,AFFILIATED ,,,,,,
REFUGEE,,,,,,,,
SERVANT OF OFFICIAL,GOV,AFFILIATED ,,,,,,
WIFE OF PROFESSOR,TEACHER,AFFILIATED,,,,,,
BROTHER OF NATIVE,US CITIZEN,AFFILIATED,,,,,,
REPORTER,GOV,OWN,,,,,,
HOMELESS,UNKNOWN,OWN,,,,,,
DRAFTSMAN,UNKNOWN,OWN,,,,,,
SOCIAL WORKER,UNKNOWN,OWN,,,,,,
DISHWASHER,UNKNOWN,OWN,,,,,,
CAMERAMAN,UNKNOWN,OWN,,,,,,
ARTIST,BONDED TRANSIT/ ENTRY,OWN,,,,,,
WIFE OF GOV'T OFFICIAL,GOV,AFFILIATED ,,,,,,
CARPENTER,UNKNOWN,OWN,,,,,,
DAUGHTER OF OFFICIAL,GOV,AFFILIATED ,,,,,,
PROFESSOR,TEACHER,OWN,,,,,,
MINISTER,TEACHER,OWN,,,,,,
ACTING TROUPE,BONDED TRANSIT/ ENTRY,OWN,,,,,,
CITIZEN,US CITIZEN,OWN,,,,,,
IMMIGRANT'S RETURN,US CITIZEN,OWN,,,,,,
TRANSIENT OFFICIAL,GOV,OWN,,,,,,
OFFICIAL'S STAFF,GOV,OWN,,,,,,
NEWSPAPER MAN,GOV,OWN,,,,,,
TEMPORARY VISITOR,TRAVELER,OWN,,,,,,
THEATRICAL GROUP,BONDED TRANSIT/ ENTRY,OWN,,,,,,
THEATRICAL PERFORMER,BONDED TRANSIT/ ENTRY,OWN,,,,,,
ECONOMICAL CONSUL,GOV,OWN,,,,,,
SEAMSTRESS,,,,,,,,
SCHOOL PRINCIPAL,TEACHER,OWN,,,,,,
CHINESE GOV'T RR ENGINEER,UNKNOWN,OWN,,,,,,
DOMESTIC- NURSE MAID,UNKNOWN,OWN,,,,,,
FOUNDATION EXECUTIVE,GOV,OWN,,,,,,
WIFE OF OFFICIAL,GOV,AFFILIATED ,,,,,,
